PersonnelNumber,EmploymentStatus,CareerTrackCode,CareerTrack,TalentSegmentCode,TalentSegment,StandardJob,Community,CommunityCode,DiamondClient,Gender
ID10070,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Senior Manager,ATL_CROSS,3Z,Mega Diamond,Male
ID10071,Active,530,Corporate Function,52971391,"Program, Project & Service Mgmt",Program & Project Mgmt Senior Manager,DNV_CROSS,9X,NULL,Female
ID10072,Active,530,Corporate Function,52971391,"Program, Project & Service Mgmt",Program & Project Mgmt Senior Manager,CHG_CROSS,G5,NULL,Female
ID10073,Active,510,Client & Market,52994539,Management Consulting,Management Consulting Senior Manager,WDC_CROSS,OG,,Female
ID10074,Active,510,Client & Market,52994539,Management Consulting,Senior Management Consulting Executive,NYM_CROSS,OZ,Mega Diamond,Male
ID10075,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Manager,IDC FSBAR04,V5,Diamond,Male
ID10076,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Assoc Director,Avanade FSBAR03,7K,Emerging Diamond,Male
ID10077,Active,530,Corporate Function,52971378,Human Resources,Human Capital Strategy Managing Director,DET_CROSS,8Y,NULL,Male
ID10078,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Program & Project Mgmt Manager,ATL_CROSS,3Z,Emerging Diamond,Male
ID10079,Active,510,Client & Market,52971384,Analytics,Analytics Director,NYM_CROSS,OZ,,Female
ID10080,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Service Management Senior Manager,KC_CROSS,Q0,Emerging Diamond,Male
ID10081,Active,510,Client & Market,52994537,Business & Technology Integration,Bus & Technology Delivery Specialist,DNV_CROSS,9X,NULL,Male
ID10082,Active,530,Corporate Function,52971391,"Program, Project & Service Mgmt",Business Operations Manager,SOC_CROSS,3E,Diamond,Male
ID10083,Active,540,Innovation & Thought Leadership,52994537,Business & Technology Integration,Technology Consulting Principal Director,CHG_CROSS,G5,Diamond,Male
ID10084,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Manager,IDC RES02,PI,Diamond,Male
ID10085,Active,510,Client & Market,52971047,Account Leadership,Senior Client Account Executive,KC_CROSS,Q0,Emerging Diamond,Male
ID10086,Active,510,Client & Market,52971047,Account Leadership,Client Account Director,CIN_CROSS,YJ,Diamond,Male
ID10087,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Sr Tech Portfolio Delivery Mgmnt Exec,IDC HPS00,RM,,Male
ID10088,Active,510,Client & Market,52994537,Business & Technology Integration,Business Process Arch Senior Manager,WDC_CROSS,OG,NULL,Male
ID10089,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Executive,TAM_CROSS,MK,,Female
ID10090,Active,520,Client Delivery & Operations,52971396,Solution Architecture,Costing Architect Manager,DNV_CROSS,9X,Mega Diamond,Female
ID10091,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Program & Project Mgmt Specialist,CHG_CROSS,G5,Diamond,Female
ID10092,Active,530,Corporate Function,52994539,Management Consulting,Human Performance Associate Director,CHG_CROSS,G5,NULL,Female
ID10093,Active,530,Corporate Function,52971378,Human Resources,Transitions Specialist,CIN_CROSS,YJ,NULL,Female
ID10094,Active,520,Client Delivery & Operations,52971376,Portfolio & Delivery Management,Client Delivery Executive,WDC_CROSS,OG,NULL,Male
ID10095,Active,530,Corporate Function,52994539,Management Consulting,Human Performance Manager,CLE_CROSS,6J,NULL,Female
ID10096,Active,520,Client Delivery & Operations,52971398,Technology Architecture,Tech Architecture Delivery Assoc Mgr,BOS_CROSS,RM,Mega Diamond,Female
ID10097,Active,510,Client & Market,52994537,Business & Technology Integration,Senior Technology Consulting Executive,WDC_CROSS,OG,Diamond,Male
ID10098,Active,550,Sales,52971394,Sales Enablement,Sales Program Mgmt Senior Manager,WDC_CROSS,OG,NULL,Female
ID10099,Active,520,Client Delivery & Operations,52971396,Solution Architecture,Tech Solution Plan Enablement Mgr,IDC PROLS02,S9,Mega Diamond,Male
ID10100,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Program & Project Mgmt Senior Manager,To Be Assigned,CW,NULL,Female
ID10101,Active,510,Client & Market,52994537,Business & Technology Integration,Senior Technology Consulting Executive,HOU_CROSS,K1,,Female
ID10102,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Program & Project Mgmt Manager,ONE_MINNEAPOLIS,V5,Mega Diamond,Female
ID10103,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Sr Technology Practice Builder Exec,CHG_CROSS,G5,NULL,Female
ID10104,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Executive,IDC PROBBY05,P9,Diamond,Female
ID10105,Active,520,Client Delivery & Operations,52994539,Management Consulting,MC Delivery Senior Manager,GTIN_CRM_SLO,AO,NULL,Male
ID10106,Active,550,Sales,52971393,Sales,Deal Executive,IDC PROOPS,5Y,Target,Male
ID10107,Active,510,Client & Market,52994537,Business & Technology Integration,Digital Business Integration Sr Manager,DAL_CROSS,8A,Diamond,Male
ID10108,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Manager,ONE_MINNEAPOLIS,V5,Mega Diamond,Female
ID10109,Active,540,Innovation & Thought Leadership,52971390,"Product, Service & Offering Development",Offering Dev Senior Principal,WDC_CROSS,OG,NULL,Female
ID10110,Active,510,Client & Market,52971047,Account Leadership,Client Account Executive,DAL_CROSS,8A,,Female
ID10111,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Executive,PHL_CROSS,2I,Mega Diamond,Male
ID10112,Active,510,Client & Market,52971397,Strategy,Functional Strategy Senior Manager,NYM_CROSS,OZ,Diamond,Female
ID10113,Active,520,Client Delivery & Operations,52971396,Solution Architecture,Tech Solution Planning Sr Mgr,ATL_CROSS,3Z,Emerging Diamond,Female
ID10114,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Manager,Ava CMTAO0031,3F,,Male
ID10115,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Program & Project Mgmt Specialist,DAL_CROSS,8A,Diamond,Female
ID10116,Active,530,Corporate Function,52971378,Human Resources,Learning & Talent Development Mgr,NYM_CROSS,OZ,NULL,Female
ID10117,Active,510,Client & Market,52994539,Management Consulting,Management Consulting Senior Manager,CHG_CROSS,G5,Emerging Diamond,Male
ID10118,Active,530,Corporate Function,52971391,"Program, Project & Service Mgmt",Business Operations Senior Manager,NYM_CROSS,OZ,Diamond,Female
ID10119,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Mobilization Senior Manager,ATL_CROSS,3Z,Emerging Diamond,Male
ID10120,Active,510,Client & Market,52994537,Business & Technology Integration,Digital Business Integration Sr Manager,WDC_CROSS,OG,Target,Male
ID10121,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Assoc Manager,ATL_CROSS,3Z,Diamond,Female
ID10122,Active,510,Client & Market,52994539,Management Consulting,Management Consulting Senior Manager,WDC_CROSS,OG,Mega Diamond,Female
ID10123,Active,510,Client & Market,52971398,Technology Architecture,Application Architect Senior Manager,WDC_CROSS,OG,NULL,Male
ID10124,Active,510,Client & Market,52994539,Management Consulting,Management Consulting Executive,CHA_CROSS,4N,,Male
ID10125,Active,550,Sales,52971393,Sales,Sales Capture Executive,WDC_CROSS,OG,NULL,Male
ID10126,Active,520,Client Delivery & Operations,52994538,Business Advisory,Business Advisory Associate Manager,Non Voice,A5,Mega Diamond,Male
ID10127,Active,540,Innovation & Thought Leadership,52971380,Infrastructure,Infrastructure Senior Principal,CHG_CROSS,G5,NULL,Male
ID10128,Active,530,Corporate Function,52971388,"Performance, Risk & Quality",Corporate Risk & Quality Associate Mgr,NYM_CROSS,OZ,NULL,Female
ID10129,Active,510,Client & Market,52994537,Business & Technology Integration,Digital Business Integration Sr Manager,SOC_CROSS,3E,Diamond,Female
ID10130,Active,510,Client & Market,52994539,Management Consulting,Management Consulting Manager,WDC_CROSS,OG,NULL,Female
ID10131,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,IDC HPS-HC-10,RW,Diamond,Male
ID10132,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Manager,IDC FSIG22,JY,,Male
ID10133,Active,520,Client Delivery & Operations,52971382,IT Operations,SW Product Infra Associate Manager,DAL_CROSS,8A,NULL,Male
ID10134,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Program & Project Mgmt Senior Manager,IDC ITPEX01,ON,NULL,Female
ID10135,Active,510,Client & Market,52994537,Business & Technology Integration,Senior Technology Consulting Executive,DET_CROSS,8Y,Emerging Diamond,Male
ID10136,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,IDC FSMODB,I5,Mega Diamond,Male
ID10137,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Senior Manager,IDC SIDP SISA,PL,Diamond,Female
ID10138,Active,510,Client & Market,52994537,Business & Technology Integration,Senior Technology Consulting Executive,HOU_CROSS,K1,,Male
ID10139,Active,510,Client & Market,52994537,Business & Technology Integration,Senior Technology Consulting Executive,NYM_CROSS,OZ,Diamond,Male
ID10140,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Senior Manager,NOC_SACRAMENTO,1J,Mega Diamond,Female
ID10141,Inactive,510,Client & Market,52994537,Business & Technology Integration,Digital Business Integration Sr Manager,NOC_CROSS,OX,NULL,Male
ID10142,Active,530,Corporate Function,52971378,Human Resources,Talent Supply Demand Senior Manager,WDC_CROSS,OG,NULL,Female
ID10143,Active,510,Client & Market,52994539,Management Consulting,Management Consulting Senior Manager,CHA_CROSS,4N,,Male
ID10144,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Bus & Technology Delivery Assoc Director,WDC_CROSS,OG,NULL,Male
ID10145,Active,510,Client & Market,52971397,Strategy,Functional Strategy Director,AUS_CROSS,1P,Diamond,Male
ID10146,Active,540,Innovation & Thought Leadership,52994539,Management Consulting,Management Consulting Principal Director,DNV_CROSS,9X,Mega Diamond,Male
ID10147,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Senior Manager,IDC CMTAO045,RD,Diamond,Male
ID10148,Active,510,Client & Market,52971376,Portfolio & Delivery Management,Portfolio & Del Mgmt Senior Manager,PHL_CROSS,2I,NULL,Male
ID10149,Active,520,Client Delivery & Operations,52971398,Technology Architecture,Technology Arch Science Sr Manager,ATL_CROSS,3Z,Mega Diamond,Male
ID10150,Active,510,Client & Market,52994539,Management Consulting,Senior Management Consulting Executive,NOC_CROSS,OX,Diamond,Male
ID10151,Active,510,Client & Market,52971047,Account Leadership,Operations Acct Leadership Sr Manager,DNV_CROSS,9X,Mega Diamond,Male
ID10152,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Manager,IDC PROHC03,NW,Mega Diamond,Male
ID10153,Active,510,Client & Market,52994539,Management Consulting,Senior Management Consulting Executive,CLE_CROSS,6J,Target,Male
ID10154,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Mobilization Senior Manager,RAL_CROSS,GA,Diamond,Male
ID10155,Active,540,Innovation & Thought Leadership,52971379,Industry Solutions & Services,Industry Senior Principal,WDC_CROSS,OG,Emerging Diamond,Male
ID10156,Active,520,Client Delivery & Operations,52971376,Portfolio & Delivery Management,Client Svcs Delivery Senior Manager,BOS_CROSS,RM,NULL,Male
ID10157,Active,510,Client & Market,52971398,Technology Architecture,Application Architect Senior Manager,WDC_CROSS,OG,NULL,Female
ID10158,Active,530,Corporate Function,52971376,Portfolio & Delivery Management,App Development & Delivery MD (Standard),CHG_CROSS,G5,NULL,Male
ID10159,Active,510,Client & Market,52994537,Business & Technology Integration,Technology Consulting Senior Manager,PIT_CROSS,FG,NULL,Female
ID10160,Active,550,Sales,52971393,Sales,Sales Capture Executive,ATL_CROSS,3Z,,Male
ID10161,Active,510,Client & Market,52994539,Management Consulting,Digital Transformation Senior Manager,HOU_CROSS,K1,,Male
ID10162,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Executive,IDC HPS-HC-03,RQ,,Male
ID10163,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,IDC FSCBUBAO,HI,Mega Diamond,Male
ID10164,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Assoc Manager,IDC AVA-PDC01,TK,Mega Diamond,Male
ID10165,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business & Integration Arch Executive,DAL_CROSS,8A,Emerging Diamond,Male
ID10166,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Executive,IND_CROSS,O3,,Male
ID10167,Active,510,Client & Market,52994537,Business & Technology Integration,Senior Technology Consulting Executive,CIN_CROSS,YJ,Mega Diamond,Male
ID10168,Active,510,Client & Market,52971398,Technology Architecture,Application Architect Senior Manager,CHG_CROSS,G5,NULL,Male
ID10169,Active,510,Client & Market,52994537,Business & Technology Integration,Technology Consulting Executive,SOC_CROSS,3E,,Female
ID10170,Active,520,Client Delivery & Operations,52971396,Solution Architecture,Tech Solution Planning Sr Mgr,DNV_CROSS,9X,,Female
ID10171,Active,510,Client & Market,52994537,Business & Technology Integration,Technology Consulting Principal Director,WDC_CROSS,OG,,Male
ID10172,Active,520,Client Delivery & Operations,52971389,Practice Leadership,Senior Technology Executive,TAM_CROSS,MK,,Female
ID10173,Active,510,Client & Market,52994537,Business & Technology Integration,Technology Consulting Senior Manager,NYM_CROSS,OZ,,Male
ID10174,Active,520,Client Delivery & Operations,52971380,Infrastructure,Infrastructure Tech Arch Senior Manager,ONE_MINNEAPOLIS,V5,,Male
ID10175,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Sr. Technology Delivery Lead Executive,ATL_CROSS,3Z,Emerging Diamond,Male
ID10176,Active,510,Client & Market,52994537,Business & Technology Integration,Digital Practice & Off Dev Sr Manager,AUS_CROSS,1P,,Male
ID10177,Active,510,Client & Market,52971389,Practice Leadership,CSG Lead,CHG_CROSS,G5,Target,Male
ID10178,Active,520,Client Delivery & Operations,52971395,Software Engineering,Test Architecture Senior Manager,DNV_CROSS,9X,Emerging Diamond,Male
ID10179,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Executive,PHL_CROSS,2I,,Male
ID10180,Active,510,Client & Market,52994537,Business & Technology Integration,Technology Consulting Executive,NYM_CROSS,OZ,Diamond,Male
ID10181,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Assoc Manager,ATL_CROSS,3Z,Emerging Diamond,Male
ID10182,Active,510,Client & Market,52971379,Industry Solutions & Services,Business Service Development Director,ONE_MINNEAPOLIS,V5,,Male
ID10183,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Solution Del Planning Senior Manager,WDC_CROSS,OG,NULL,Male
ID10184,Active,510,Client & Market,52971380,Infrastructure,Infrastructure Senior Manager,WDC_CROSS,OG,NULL,Male
ID10185,Active,510,Client & Market,52994537,Business & Technology Integration,Technology Consulting Executive,CIN_CROSS,YJ,Mega Diamond,Male
ID10186,Active,520,Client Delivery & Operations,52971398,Technology Architecture,Tech Architecture Delivery Assoc Dir,DET_CROSS,8Y,Mega Diamond,Male
ID10187,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Senior Manager,IDC FSBOA03,CI,Diamond,Male
ID10188,Active,510,Client & Market,52994537,Business & Technology Integration,Digital Business Integration Consultant,ATL_BIR,QP,Diamond,Male
ID10189,Active,520,Client Delivery & Operations,52971398,Technology Architecture,Tech Architecture Delivery Sr Manager,DET_CROSS,8Y,Mega Diamond,Male
ID10190,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Project Control Services Senior Manager,IDC AOSA,YK,Diamond,Female
ID10191,Active,510,Client & Market,52971397,Strategy,Senior Technology Strategy Executive,BOS_CROSS,RM,Diamond,Male
ID10192,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Technology Delivery Lead Executive,PHL_CROSS,2I,Emerging Diamond,Male
ID10193,Active,510,Client & Market,52971047,Account Leadership,Client Account Director,WDC_CROSS,OG,NULL,Male
ID10194,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Sr Technology Practice Builder Exec,DET_CROSS,8Y,Mega Diamond,Female
ID10195,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Mobilization Senior Manager,PHX_CROSS,D6,Target,Male
ID10196,Active,520,Client Delivery & Operations,52994537,Business & Technology Integration,Business&Integration Arch Specialist,IDC HPS-HC-01,RN,,Male
ID10197,Active,520,Client Delivery & Operations,52971380,Infrastructure,Infrastructure Senior Manager,To Be Assigned,CW,,Male
ID10198,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Manager,IDC FSJPMC05,HU,Mega Diamond,Female
ID10199,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Manager,To Be Assigned,CW,Diamond,Female
ID10200,Active,510,Client & Market,52971389,Practice Leadership,Technology Platform Executive,CHG_CROSS,G5,NULL,Male
ID10201,Active,510,Client & Market,52994537,Business & Technology Integration,Technology Consulting Senior Manager,CHG_CROSS,G5,,Male
ID10202,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Service Management Specialist,TAM_CROSS,MK,NULL,Male
ID10203,Active,520,Client Delivery & Operations,52971385,Marketing & Communications,Workshop Development Senior Manager,NOC_CROSS,OX,NULL,Female
ID10204,Active,540,Innovation & Thought Leadership,52994539,Management Consulting,Management Consulting Principal Director,NYM_CROSS,OZ,Diamond,Male
ID10205,Active,510,Client & Market,52994537,Business & Technology Integration,Senior Technology Consulting Executive,PHL_CROSS,2I,Mega Diamond,Male
ID10206,Active,510,Client & Market,52994539,Management Consulting,Management Consulting Manager,SOC_CROSS,3E,,Female
ID10207,Active,540,Innovation & Thought Leadership,52971396,Solution Architecture,Digital Solution Arch Sr Principal,PHL_CROSS,2I,,Female
ID10208,Active,510,Client & Market,52994537,Business & Technology Integration,Senior Technology Consulting Executive,WDC_CROSS,OG,Emerging Diamond,Male
ID10209,Active,520,Client Delivery & Operations,52971395,Software Engineering,Application Development Manager,STL_CROSS,KY,Mega Diamond,Male
ID10210,Active,520,Client Delivery & Operations,52971391,"Program, Project & Service Mgmt",Program & Project Mgmt Manager,IDC ITP-OPS,OS,NULL,Male
